Path Way,File Name,Camera,Datetime,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,Score
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T120316.xml,inner_bore_211202T120316.xml,inner_bore,2021-12-02  20:31:06,1000,7990,1,Crack-outoffocus,403,4287,490,4308,0.95400524139404
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T123908.xml,inner_bore_211202T123908.xml,inner_bore,2021-12-02  23:09:08,1000,7990,1,Crack-minor,214,2004,276,2025,0.96250629425049
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T124654.xml,inner_bore_211202T124654.xml,inner_bore,2021-12-02  02:46:54,1000,7990,1,Crack-minor,219,4642,301,4663,0.96733498573303
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T124725.xml,inner_bore_211202T124725.xml,inner_bore,2021-12-02  02:47:25,1000,7990,1,Crack-outoffocus,573,6891,669,6911,0.99588334560394
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T130709.xml,inner_bore_211202T130709.xml,inner_bore,2021-12-02  03:07:09,1000,7990,1,Crack-outoffocus,632,3787,703,3810,0.9838490486145
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T132415.xml,inner_bore_211202T132415.xml,inner_bore,2021-12-02  03:24:15,1000,7990,1,Crack,443,88,475,212,0.99265998601913
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T133559.xml,inner_bore_211202T133559.xml,inner_bore,2021-12-02  03:35:59,1000,7990,1,Crack-minor,219,6307,280,6328,0.99245375394821
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T133727.xml,inner_bore_211202T133727.xml,inner_bore,2021-12-02  03:37:27,1000,7990,1,Crack,406,1180,437,1324,0.96148282289505
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T133948.xml,inner_bore_211202T133948.xml,inner_bore,2021-12-02  03:39:48,1000,7990,1,Crack-outoffocus,430,1717,509,1735,0.96319788694382
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T134011.xml,inner_bore_211202T134011.xml,inner_bore,2021-12-02  03:40:11,1000,7990,1,Crack,406,7089,433,7224,0.95255130529404
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T134931.xml,inner_bore_211202T134931.xml,inner_bore,2021-12-02  03:49:31,1000,7990,1,Crack,282,4184,355,4234,0.99654167890549
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T135231.xml,inner_bore_211202T135231.xml,inner_bore,2021-12-02  03:52:31,1000,7990,1,Crack,496,509,525,622,0.96528106927872
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T064641.xml,inner_bore_211202T064641.xml,inner_bore,2021-12-02  06:46:41,1000,7990,1,Crack,425,4745,456,4901,0.92637538909912
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T075836.xml,inner_bore_211202T075836.xml,inner_bore,2021-12-02  07:58:36,1000,7990,1,Crack-outoffocus,583,7081,668,7107,0.93402403593063
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T102837.xml,inner_bore_211202T102837.xml,inner_bore,2021-12-02  02:08:37,1000,7990,1,Crack-outoffocus,335,3786,459,3808,0.91259491443634
