Path Way,File Name,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,Score
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T091547.xml,inner_bore_211123T091547.xml,1000,7990,1,Crack,579,1888,615,1968,0.99970132112503
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T091554.xml,inner_bore_211123T091554.xml,1000,7990,1,Crack,494,2935,545,3030,0.99950158596039
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T091643.xml,inner_bore_211123T091643.xml,1000,7990,1,Crack,576,5139,615,5246,0.99311286211014
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T092641.xml,inner_bore_211123T092641.xml,1000,7990,1,Crack,539,2998,587,3138,0.9998368024826
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T092641.xml,inner_bore_211123T092641.xml,1000,7990,1,Crack,472,2406,620,2457,0.97122913599014
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T093533.xml,inner_bore_211123T093533.xml,1000,7990,1,Crack,477,4994,530,5102,0.98286199569702
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T093640.xml,inner_bore_211123T093640.xml,1000,7990,1,Crack,502,2375,572,2414,0.99967503547668
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T093640.xml,inner_bore_211123T093640.xml,1000,7990,1,Crack,218,1610,278,1640,0.98797261714935
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T094423.xml,inner_bore_211123T094423.xml,1000,7990,1,Crack,487,696,519,876,0.96955150365829
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T095034.xml,inner_bore_211123T095034.xml,1000,7990,1,Crack-outoffocus,520,5246,600,5267,0.96392625570297
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T095041.xml,inner_bore_211123T095041.xml,1000,7990,1,Crack-outoffocus,541,6356,628,6377,0.97651678323746
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T095517.xml,inner_bore_211123T095517.xml,1000,7990,1,Crack,507,5965,538,6151,0.96183371543884
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T100120.xml,inner_bore_211123T100120.xml,1000,7990,1,Crack,430,7102,475,7176,0.99983417987823
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T100233.xml,inner_bore_211123T100233.xml,1000,7990,1,Crack,467,1721,512,1810,0.99938404560089
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T101435.xml,inner_bore_211123T101435.xml,1000,7990,1,Crack,653,1249,696,1356,0.97120845317841
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T103237.xml,inner_bore_211123T103237.xml,1000,7990,1,Crack,684,5544,718,5629,0.99856227636337
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T103316.xml,inner_bore_211123T103316.xml,1000,7990,1,Crack,401,5880,436,5974,0.99894088506699
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T103316.xml,inner_bore_211123T103316.xml,1000,7990,1,Crack,591,5377,665,5426,0.98676759004593
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T103545.xml,inner_bore_211123T103545.xml,1000,7990,1,Crack,499,4819,558,4870,0.99954742193222
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T103626.xml,inner_bore_211123T103626.xml,1000,7990,1,Crack,463,7045,502,7251,0.99992656707764
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T103626.xml,inner_bore_211123T103626.xml,1000,7990,1,Crack,735,6690,799,7018,0.85578525066376
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T104004.xml,inner_bore_211123T104004.xml,1000,7990,1,Crack,474,3073,503,3198,0.99396485090256
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T104755.xml,inner_bore_211123T104755.xml,1000,7990,1,Crack-minor,210,4789,273,4810,0.99924927949905
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T104953.xml,inner_bore_211123T104953.xml,1000,7990,1,Crack,500,2346,552,2484,0.99829179048538
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T105000.xml,inner_bore_211123T105000.xml,1000,7990,1,Crack,602,1268,644,1408,0.99994480609894
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T105041.xml,inner_bore_211123T105041.xml,1000,7990,1,Crack,295,1807,323,1932,0.99990129470825
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T105102.xml,inner_bore_211123T105102.xml,1000,7990,1,Crack,410,2679,441,2821,0.99986898899078
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T110206.xml,inner_bore_211123T110206.xml,1000,7990,1,Crack,404,2023,429,2122,0.97145068645477
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T110544.xml,inner_bore_211123T110544.xml,1000,7990,1,Crack,456,1515,483,1721,0.9991882443428
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T110610.xml,inner_bore_211123T110610.xml,1000,7990,1,Crack,508,2882,623,2931,0.98883384466171
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T112355.xml,inner_bore_211123T112355.xml,1000,7990,1,Crack-minor,217,5622,277,5643,0.99947410821915
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T121006.xml,inner_bore_211123T121006.xml,1000,7990,1,Crack-outoffocus,483,7091,573,7110,0.9963014125824
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T121805.xml,inner_bore_211123T121805.xml,1000,7990,1,Crack,514,1016,554,1117,0.99934929609299
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T121811.xml,inner_bore_211123T121811.xml,1000,7990,1,Crack,525,7869,571,7980,0.99715107679367
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T121811.xml,inner_bore_211123T121811.xml,1000,7990,1,Crack-outoffocus,483,813,580,837,0.99629539251328
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T122125.xml,inner_bore_211123T122125.xml,1000,7990,1,Crack,344,6558,429,6604,0.9863954782486
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T122125.xml,inner_bore_211123T122125.xml,1000,7990,1,Crack-outoffocus,557,6490,646,6518,0.98311620950699
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T122220.xml,inner_bore_211123T122220.xml,1000,7990,1,Crack,393,1464,444,1629,0.99707698822021
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T122226.xml,inner_bore_211123T122226.xml,1000,7990,1,Crack,638,314,689,468,0.9996509552002
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T122448.xml,inner_bore_211123T122448.xml,1000,7990,1,Crack,494,1598,546,1739,0.99953281879425
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T122557.xml,inner_bore_211123T122557.xml,1000,7990,1,Crack-outoffocus,480,792,581,813,0.98869621753693
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T122927.xml,inner_bore_211123T122927.xml,1000,7990,1,Crack-minor,205,2640,275,2671,0.9644849896431
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T123539.xml,inner_bore_211123T123539.xml,1000,7990,1,Crack,541,2795,591,2873,0.98136556148529
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T123554.xml,inner_bore_211123T123554.xml,1000,7990,1,Crack,565,1387,640,1427,0.99806028604507
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T123712.xml,inner_bore_211123T123712.xml,1000,7990,1,Crack,325,3017,408,3049,0.99405497312546
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T124004.xml,inner_bore_211123T124004.xml,1000,7990,1,Crack,339,3060,385,3161,0.99989187717438
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T124029.xml,inner_bore_211123T124029.xml,1000,7990,1,Crack-outoffocus,305,4748,397,4765,0.97696334123611
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T124433.xml,inner_bore_211123T124433.xml,1000,7990,1,Crack,455,2121,487,2215,0.98794311285019
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T124534.xml,inner_bore_211123T124534.xml,1000,7990,1,Crack-outoffocus,336,5368,438,5392,0.99635004997253
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T125118.xml,inner_bore_211123T125118.xml,1000,7990,1,Crack,440,3907,533,3946,0.99952507019043
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T125125.xml,inner_bore_211123T125125.xml,1000,7990,1,Crack,558,4931,665,4974,0.99869698286057
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T125125.xml,inner_bore_211123T125125.xml,1000,7990,1,Crack-minor,210,4920,268,4947,0.5686759352684
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T125212.xml,inner_bore_211123T125212.xml,1000,7990,1,Crack-outoffocus,501,7662,593,7685,0.99748826026917
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T125236.xml,inner_bore_211123T125236.xml,1000,7990,1,Crack,485,6969,517,7117,0.97968649864197
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T125735.xml,inner_bore_211123T125735.xml,1000,7990,1,Crack,275,2443,331,2566,0.99120455980301
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T130040.xml,inner_bore_211123T130040.xml,1000,7990,1,Crack,373,6278,401,6575,0.99927884340286
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T130040.xml,inner_bore_211123T130040.xml,1000,7990,1,Crack-minor,238,2695,352,2713,0.98211997747421
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T130040.xml,inner_bore_211123T130040.xml,1000,7990,1,Crack,405,5813,440,5922,0.93799841403961
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T130508.xml,inner_bore_211123T130508.xml,1000,7990,1,Crack,639,4868,693,5083,0.99997806549072
